producto_id,nombre_producto,categoria,subcategoria,precio_venta,costo,stock_disponible,proveedor_id,nombre_proveedor,fecha_creacion,activo,data_owner,clasificacion_dato
PROD-0001,Natación Qui 512,Deportes,Natación,742852.47,367073.46,47.0,PROV-009,"Gómez, Duque and Mendoza",2023-03-13,True,catalogo@retailtech.co,interno
PROD-0002,Deportiva Totam 892,Ropa,Deportiva,1236500.81,760700.72,,PROV-014,Caro Group,2023-01-24,True,catalogo@retailtech.co,interno
PROD-0003,Ciclismo Iure 539,Deportes,Ciclismo,1522918.39,681583.93,495.0,PROV-014,"Serrano, Guerrero and Cruz",2023-02-24,True,catalogo@retailtech.co,interno
PROD-0004,Niños Dolorum 907,Ropa,Niños,540175.49,276826.57,248.0,PROV-006,Barrios-Vargas,2023-06-24,True,catalogo@retailtech.co,interno
PROD-0005,Smartphones Soluta 978,Electrónica,Smartphones,1154567.08,504681.82,,PROV-003,Gallego-Gómez,2023-04-23,True,catalogo@retailtech.co,interno
PROD-0006,Outdoor Magnam 262,Deportes,Outdoor,1897679.9,796598.31,154.0,PROV-014,"Flórez, Calderón and Pérez",2023-03-12,True,catalogo@retailtech.co,interno
PROD-0007,Niños Voluptate 505,Ropa,Niños,155021.22,75112.22,26.0,PROV-011,Loaiza-Acosta,2023-03-20,True,catalogo@retailtech.co,interno
PROD-0008,Limpieza Ut 588,Hogar,Limpieza,1116265.86,527833.33,,PROV-002,"Ruiz, Bustos and García",2023-02-03,True,catalogo@retailtech.co,interno
PROD-0009,Importados Facilis 532,Alimentos,Importados,36481.18,17336.69,440.0,PROV-012,Salcedo-Ángel,2023-02-03,True,catalogo@retailtech.co,interno
PROD-0010,Limpieza Cupiditate 406,Hogar,Limpieza,181104.21,80571.55,188.0,PROV-003,Cuéllar-Pérez,2023-04-08,True,catalogo@retailtech.co,interno
PROD-0011,Dormitorio Sequi 550,Hogar,Dormitorio,123753.11,64045.17,84.0,PROV-006,Padilla-Rueda,2023-02-24,True,catalogo@retailtech.co,interno
PROD-0012,Limpieza A 202,Hogar,Limpieza,881691.78,496700.05,459.0,PROV-003,"Lara, Cáceres and Pinto",2023-02-01,True,catalogo@retailtech.co,interno
PROD-0013,Ciclismo Similique 760,Deportes,Ciclismo,1240373.1,770966.48,141.0,PROV-002,"González, Vargas and Rodríguez",2023-03-05,True,catalogo@retailtech.co,interno
PROD-0014,Orgánicos Omnis 996,Alimentos,Orgánicos,1311821.55,625386.03,337.0,PROV-005,Narváez Ltd,2023-02-22,True,catalogo@retailtech.co,interno
PROD-0015,Bebidas Ipsa 912,Alimentos,Bebidas,951784.59,600796.48,459.0,PROV-004,"García, Mora and Rico",2023-05-07,True,catalogo@retailtech.co,interno
PROD-0016,Limpieza Nemo 469,Hogar,Limpieza,664360.12,514085.04,6.0,PROV-015,Pérez and Sons,2023-03-23,True,catalogo@retailtech.co,interno
PROD-0017,Importados Illum 888,Alimentos,Importados,623582.81,298675.85,488.0,PROV-002,Álvarez Ltd,2023-01-05,True,catalogo@retailtech.co,interno
PROD-0018,Tabletas Sequi 618,Electrónica,Tabletas,432931.88,180436.92,203.0,PROV-005,Morales Ltd,2023-06-10,True,catalogo@retailtech.co,interno
PROD-0019,Natación Neque 256,Deportes,Natación,737798.67,564430.4,315.0,PROV-005,"Bedoya, Tovar and Pérez",2023-01-22,True,catalogo@retailtech.co,interno
PROD-0020,Bebidas Quibusdam 749,Alimentos,Bebidas,1093142.43,779707.57,300.0,PROV-013,"Rivera, Gaitán and Mora",2023-06-16,True,catalogo@retailtech.co,interno
PROD-0021,Tabletas Architecto 350,Electrónica,Tabletas,1207608.63,561953.95,29.0,PROV-002,García Group,2023-04-22,True,catalogo@retailtech.co,interno
PROD-0022,Snacks Repudiandae 112,Alimentos,Snacks,550441.19,254339.15,61.0,PROV-012,"Hernández, Díaz and Agudelo",2023-02-05,True,catalogo@retailtech.co,interno
PROD-0023,Limpieza Ratione 365,Hogar,Limpieza,1434148.69,762882.8,369.0,PROV-003,Guzmán-Zapata,2023-04-06,True,catalogo@retailtech.co,interno
PROD-0024,Hombre Dolorem 636,Ropa,Hombre,766955.3,619429.93,139.0,PROV-002,Hernández-Rueda,2023-03-09,True,catalogo@retailtech.co,interno
PROD-0025,Snacks Expedita 680,Alimentos,Snacks,749253.67,401956.58,439.0,PROV-003,"Gaitán, Osorio and Mercado",2023-04-05,True,catalogo@retailtech.co,interno
PROD-0026,Smartphones Mollitia 983,Electrónica,Smartphones,354497.85,190439.49,,PROV-001,"Díaz, Sánchez and Ramírez",2023-03-04,True,catalogo@retailtech.co,interno
PROD-0027,Deportiva Voluptate 666,Ropa,Deportiva,1055832.34,736978.97,18.0,PROV-013,Calderón-Moreno,2023-06-17,True,catalogo@retailtech.co,interno
PROD-0028,Mujer Tenetur 685,Ropa,Mujer,723894.86,338842.71,39.0,PROV-006,Gaitán LLC,2023-01-31,True,catalogo@retailtech.co,interno
PROD-0029,Laptops Officiis 510,Electrónica,Laptops,348505.64,186316.2,,PROV-002,García-Álvarez,2023-04-30,True,catalogo@retailtech.co,interno
PROD-0030,Niños Vel 677,Ropa,Niños,140352.75,78244.56,149.0,PROV-013,Romero and Sons,2023-03-19,True,catalogo@retailtech.co,interno
PROD-0031,Limpieza Corporis 300,Hogar,Limpieza,741330.7,300936.17,397.0,PROV-012,"Vélez, López and Mena",2023-05-20,True,catalogo@retailtech.co,interno
PROD-0032,Dormitorio Ipsam 751,Hogar,Dormitorio,26062.48,15038.53,177.0,PROV-014,Pérez Ltd,2023-06-27,True,catalogo@retailtech.co,interno
PROD-0033,Hombre Soluta 206,Ropa,Hombre,1029632.63,609554.03,157.0,PROV-004,Vargas LLC,2023-05-16,False,catalogo@retailtech.co,interno
PROD-0034,Natación Quibusdam 195,Deportes,Natación,1895895.97,769336.2,143.0,PROV-001,Fajardo-Martínez,2023-03-01,True,catalogo@retailtech.co,interno
PROD-0035,Importados Modi 694,Alimentos,Importados,949353.73,563669.06,43.0,PROV-002,"Andrade, Hurtado and Velásquez",2023-05-10,True,catalogo@retailtech.co,interno
